program,section,source,level,name,parent_name,full_path,pic,usage,occurs,occurs_depends_on,redefines,value,line_etude
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,15,FILLER,W-SRCZ-MESS1,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1/FILLER,X(76).,,,,,,000137
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,15,W-SRCZ-APPL,W-SRCZ-MESS1,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1/W-SRCZ-APPL,X(03).,,,,,,000138
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-MESS2,W-SRCZ-DONNEES,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS2,X(79).,,,,,,000139
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-ABEND,W-SRCZ-DONNEES,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-ABEND,X(04).,,,,,,000140
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,03,SRSIN-COMM,W-SRCZ-MS,W-SRCZ-MS/SRSIN-COMM,,,,,,,000143
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,05,SRSIN-INFOS,SRSIN-COMM,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS,,,,,,,000144
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-TYPAPPEL,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-TYPAPPEL,X.,,,,,,000145
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-INFO-SESS,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS,,,,,,,000146
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-CODAPPL,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-CODAPPL,X(3).,,,,,,000147
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-CODFONC,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-CODFONC,X.,,,,,,000148
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOMUTIL,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-NOMUTIL,,,,,,,000149
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,20,SRSIN-CODSERV,SRSIN-NOMUTIL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-NOMUTIL/SRSIN-CODSERV,X(6).,,,,,,000150
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,20,SRSIN-IDUTIL,SRSIN-NOMUTIL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-NOMUTIL/SRSIN-IDUTIL,X(2).,,,,,,000151
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,FILLER,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/FILLER,,,,,SRSIN-NOMUTIL,,000152
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,20,SRSIN-NIVEAU,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/FILLER/SRSIN-NIVEAU,X.,,,,,,000153
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,20,FILLER,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/FILLER/FILLER,X(7).,,,,,,000154
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-TYPRESS,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-TYPRESS,X.,,,,,,000155
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-NOMRESS,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-NOMRESS,X(8).,,,,,,000156
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,FILLER,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,,,,,SRSIN-NOMRESS,,000157
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOM-IMP,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOM-IMP,X(4).,,,,,,000158
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-TYP-MESS,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-TYP-MESS,X(4).,,,,,,000159
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,FILLER,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,,,,,SRSIN-NOMRESS,,000160
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOMTERM,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOMTERM,X(4).,,,,,,000161
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,FILLER,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/FILLER,X(4).,,,,,,000162
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,FILLER,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,,,,,SRSIN-NOMRESS,,000163
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOMTRAN,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOMTRAN,X(4).,,,,,,000164
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,FILLER,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/FILLER,X(4).,,,,,,000165
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,FILLER,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,,,,,SRSIN-NOMRESS,,000166
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOMPROG,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOMPROG,X(8).,,,,,,000167
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,FILLER,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,,,,,SRSIN-NOMRESS,,000168
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOMFONC,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOMFONC,X.,,,,,,000169
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,FILLER,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/FILLER,X(7).,,,,,,000170
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,FILLER,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER,,,,,SRSIN-NOMRESS,,000171
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,15,SRSIN-NOMFICH,FILLER,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/FILLER/SRSIN-NOMFICH,X(8).,,,,,,000172
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-TRANS-APP,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-TRANS-APP,X(4).,,,,,,000173
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,10,SRSIN-CODTRAN,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-CODTRAN,X(4).,,,,SRSIN-TRANS-APP,,000174
